GeneID	GOID
Os01g0109300	GO:0005634
Os01g0109300	GO:0005524
Os01g0109300	GO:0016021
Os01g0109300	GO:0046872
Os01g0109700	GO:0003714
Os01g0109700	GO:0045892
Os01g0109700	GO:0005634
Os01g0109700	GO:0000785
Os01g0109700	GO:0070013
Os01g0109700	GO:1902494
Os01g0109700	GO:0016021
Os01g0109700	GO:0016575
Os01g0109700	GO:0006357
Os01g0110100	GO:0006817
Os01g0110100	GO:0000822
Os01g0110100	GO:0005794
Os01g0110100	GO:0015114
Os01g0110100	GO:0016021
Os01g0110100	GO:0016036
Os01g0110100	GO:0005886
Os01g0110100	GO:0052832
Os01g0110100	GO:0052833
Os01g0110100	GO:0008934
Os01g0110100	GO:0098661
Os01g0110100	GO:0016311
Os01g0110400	GO:0016747
Os01g0110400	GO:0006635
Os01g0110400	GO:0016021
Os01g0110500	GO:0004674
Os01g0110500	GO:0006468
Os01g0110500	GO:0016021
Os01g0110500	GO:0005524
Os01g0110700	GO:0008964
Os01g0110700	GO:0015977
Os01g0110700	GO:0005737
Os01g0110700	GO:0006099
Os01g0110700	GO:0016021
Os01g0110700	GO:0046982
Os01g0110700	GO:0016435
Os01g0110700	GO:0015979
Os01g0110700	GO:0070476
Os01g0110700	GO:0016301
Os01g0110700	GO:0016310
Os01g0110800	GO:0106310
Os01g0110800	GO:0009610
Os01g0110800	GO:0016021
Os01g0110800	GO:0106311
Os01g0110800	GO:0006468
Os01g0110800	GO:0005886
Os01g0110800	GO:0044403
Os01g0111000	GO:0004857
Os01g0111000	GO:0043086
Os01g0111100	GO:0003755
Os01g0111100	GO:0000413
Os01g0111100	GO:0009507
Os01g0111100	GO:0003697
Os01g0111400	GO:0046983
Os01g0111400	GO:0005634
Os01g0111400	GO:0003677
Os01g0111400	GO:0046872
Os01g0111400	GO:0016740
Os01g0111500	GO:0046983
Os01g0111500	GO:0005634
Os01g0111500	GO:0006357
Os01g0111500	GO:0000978
Os01g0111500	GO:0000981
